yr,sex,FirstForename,number,rank,position
2000,B,Dyllan,5,339,  339=
2000,B,Felix,5,339,  339=
2000,B,Gregory,5,339,  339=
2000,B,Hasan,5,339,  339=
2000,B,Hector,5,339,  339=
2000,B,Huw,5,339,  339=
2000,B,Jared,5,339,  339=
2000,B,Jonah,5,339,  339=
2000,B,Josef,5,339,  339=
2000,B,Laurie,5,339,  339=
2000,B,Leighton,5,339,  339=
2000,B,Lochlann,5,339,  339=
2000,B,Marshall,5,339,  339=
2000,B,Maximilian,5,339,  339=
2000,B,Maxwell,5,339,  339=
2000,B,Mitchel,5,339,  339=
2000,B,Nairn,5,339,  339=
2000,B,Oskar,5,339,  339=
2000,B,Padraig,5,339,  339=
2000,B,Ramsay,5,339,  339=
2000,B,Ruaraidh,5,339,  339=
2000,B,Saif,5,339,  339=
2000,B,Sami,5,339,  339=
2000,B,Shay,5,339,  339=
2000,B,Sol,5,339,  339=
2000,B,Syed,5,339,  339=
2000,B,Adil,4,375,  375=
2000,B,Aedan,4,375,  375=
2000,B,Amir,4,375,  375=
2000,B,Ammar,4,375,  375=
2000,B,Andreas,4,375,  375=
2000,B,Aodhan,4,375,  375=
2000,B,Argyll,4,375,  375=
2000,B,Aron,4,375,  375=
2000,B,Austin,4,375,  375=
2000,B,Cade,4,375,  375=
2000,B,Carlo,4,375,  375=
2000,B,Carter,4,375,  375=
2000,B,Conal,4,375,  375=
2000,B,Conan,4,375,  375=
2000,B,Damon,4,375,  375=
2000,B,Darius,4,375,  375=
2000,B,Darryl,4,375,  375=
2000,B,Devon,4,375,  375=
2000,B,Dion,4,375,  375=
2000,B,Eamonn,4,375,  375=
2000,B,Eden,4,375,  375=
2000,B,Eric,4,375,  375=
2000,B,Gregg,4,375,  375=
2000,B,Harley,4,375,  375=
2000,B,Ibrahim,4,375,  375=
2000,B,Jacques,4,375,  375=
2000,B,Jae,4,375,  375=
2000,B,Jorg,4,375,  375=
2000,B,Kamran,4,375,  375=
2000,B,Keenan,4,375,  375=
2000,B,Kenny,4,375,  375=
2000,B,Kristian,4,375,  375=
2000,B,Kristoffer,4,375,  375=
2000,B,Lennox,4,375,  375=
2000,B,Louie,4,375,  375=
2000,B,Lukas,4,375,  375=
2000,B,Lyall,4,375,  375=
2000,B,Muhammed,4,375,  375=
2000,B,Nikolai,4,375,  375=
2000,B,Norman,4,375,  375=
2000,B,Qasim,4,375,  375=
2000,B,Ray,4,375,  375=
2000,B,Reuben,4,375,  375=
2000,B,Richie,4,375,  375=
2000,B,Robson,4,375,  375=
2000,B,Ronin,4,375,  375=
2000,B,Ronnie,4,375,  375=
2000,B,Tayler,4,375,  375=
2000,B,Theo,4,375,  375=
2000,B,Todd,4,375,  375=
2000,B,Tristan,4,375,  375=
2000,B,Wallace,4,375,  375=
2000,B,Warren,4,375,  375=
2000,B,Xander,4,375,  375=
2000,B,Abdul,3,429,  429=
2000,B,Adeel,3,429,  429=
2000,B,Aden,3,429,  429=
2000,B,Adrian,3,429,  429=
2000,B,Alfred,3,429,  429=
2000,B,Aman,3,429,  429=
2000,B,Aran,3,429,  429=
2000,B,Archibald,3,429,  429=
2000,B,Arman,3,429,  429=
2000,B,Arthur,3,429,  429=
2000,B,Awais,3,429,  429=
2000,B,Beck,3,429,  429=
2000,B,Bilal,3,429,  429=
2000,B,Blane,3,429,  429=
2000,B,Brenden,3,429,  429=
2000,B,Bryn,3,429,  429=
2000,B,Cairn,3,429,  429=
2000,B,Cale,3,429,  429=
2000,B,Clark,3,429,  429=
2000,B,Coll,3,429,  429=
2000,B,Connal,3,429,  429=
2000,B,Connar,3,429,  429=
